## ExecutionTime: 2026-06-18 07:25:10
Line,IP,Latency(ms),Packet Loss(%)
CM,104.17.114.177,38.89,2.04
CM,104.18.85.44,39.23,2.11
CM,104.17.59.88,40.83,2.11
CM,104.19.34.242,40.51,2.11
CT,108.162.198.127,62.38,0.0
CT,108.162.198.201,63.55,0.0
CT,108.162.198.84,64.03,0.0
CT,104.18.45.223,74.73,0.0
CU,104.17.59.88,172.83,0.0
CU,162.159.35.245,174.87,0.0
CU,104.19.34.242,174.65,0.0
CU,104.17.25.135,177.0,0.0
AllAvg,104.18.40.163,98.03,0.94
AllAvg,172.64.157.118,100.01,0.92
AllAvg,172.64.145.42,96.79,1.06
AllAvg,104.18.45.223,98.8,1.06
